GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6648,SOD2,superoxide dismutase 2,17052.785371223013,2.995497656400933,0.10869062900802283,27.559852065809878,3.3720601663880527e-167,4.9845793379548196e-163
718,C3,complement C3,4294.523578386007,2.050885031943205,0.10415337505299002,19.6910088693696,2.575095742087458e-86,1.9032532629768402e-82
64116,SLC39A8,solute carrier family 39 member 8,593.963104185502,2.2227759948897936,0.12675595799863656,17.535869950300107,7.627332479858668e-69,3.758240957242361e-65
629,CFB,complement factor B,457.7959123101889,2.526555258889164,0.1607548402931573,15.716822300850556,1.1599737983087118e-55,4.2866831716498445e-52
7128,TNFAIP3,TNF alpha induced protein 3,464.89123731761663,1.99291436911817,0.13701991686640036,14.544705723776913,6.31016174038949e-48,1.8655362169287487e-44
124935,SLC43A2,solute carrier family 43 member 2,662.7178852782816,1.4705309430906812,0.12016070842550104,12.238034898091518,1.946893508197155e-34,4.1112828340243345e-31
7127,TNFAIP2,TNF alpha induced protein 2,311.946360132176,1.6794328500257183,0.15525126714283835,10.81751460669601,2.8438482239625512e-27,4.2037764446614436e-24
7130,TNFAIP6,TNF alpha induced protein 6,171.51615641939486,1.951775711415471,0.18112530812971755,10.775831006551865,4.477207631366395e-27,6.016553018805277e-24
140876,RIPOR3,RIPOR family member 3,761.1860395295962,1.824601037223359,0.17464872336930728,10.447262379153548,1.5081583055116066e-25,1.7148920055440437e-22
2919,CXCL1,C-X-C motif chemokine ligand 1,3079.596023127151,1.0212426593886486,0.10082947668485202,10.128413763175601,4.132994952476048e-24,3.818370711718809e-21
771,CA12,carbonic anhydrase 12,1537.8245913320006,1.109721869668961,0.11054584105074529,10.038567341122775,1.0316153247611374e-23,8.970198665070078e-21
3383,ICAM1,intercellular adhesion molecule 1,348.98746109559505,1.8217433780387777,0.18638569198876093,9.774051637765355,1.455136874288478e-22,1.132096488196436e-19
5737,PTGFR,prostaglandin F receptor,3162.6954710634664,1.1927515642685294,0.12472989834917654,9.562675670026342,1.147508956469474e-21,8.481238697265883e-19
6372,CXCL6,C-X-C motif chemokine ligand 6,5681.97567805335,1.1169905089339687,0.11729463831020102,9.522946018895945,1.6833780872930451e-21,1.1849378517317044e-18
5971,RELB,"RELB proto-oncogene, NF-kB subunit",126.56520735500038,1.7075083067489756,0.1884317896546437,9.061678551578177,1.284582816991761e-19,7.303347384912389e-17
57722,IGDCC4,immunoglobulin superfamily DCC subclass member 4,123.16688759912829,1.504094870550016,0.1880930941989592,7.99654488622017,1.2795913677955772e-15,5.112140432095735e-13
3569,IL6,interleukin 6,161.5822966747131,1.5940673602714606,0.20641746493842472,7.722541117085117,1.140331168445773e-14,3.830994393628504e-12
4045,LSAMP,limbic system associated membrane protein,305.65309888029833,1.2903281572175616,0.17658494006957076,7.307124586667467,2.729194913401988e-13,7.204099858912177e-11
9023,CH25H,cholesterol 25-hydroxylase,151.92263030610695,1.3628060781038296,0.18849785972576438,7.229822556534618,4.836255200662577e-13,1.2116868538338e-10
80149,ZC3H12A,zinc finger CCCH-type containing 12A,283.55201122496953,1.2375297888643282,0.1801841899369732,6.868137483633858,6.504552014809145e-12,1.354229406801532e-9
255738,PCSK9,proprotein convertase subtilisin/kexin type 9,256.58987608590144,1.1476702264151795,0.1730229286632592,6.633052828788946,3.288140564084304e-11,6.075661727286773e-9
8740,TNFSF14,TNF superfamily member 14,33.364396833006,2.7702234665226855,0.4410167424405398,6.281447391753345,3.35435310876288e-10,4.813985209100281e-8
1803,DPP4,dipeptidyl peptidase 4,302.8300557372694,1.2002391023629186,0.19821339970205712,6.0552874032081,1.4016718109700661e-9,1.7558909076067387e-7
9185,REPS2,RALBP1 associated Eps domain containing 2,148.89546838070152,1.013709802288531,0.1704040391824384,5.948860174630194,2.700161739262832e-9,3.1182649085768114e-7
5452,POU2F2,POU class 2 homeobox 2,91.79565759460985,1.4818863842756538,0.2611851635966569,5.673700465483184,1.39745394279527e-8,1.4445569358321456e-6
169611,OLFML2A,olfactomedin like 2A,111.87966425932524,1.1787564945196243,0.20845147257169225,5.654824501727697,1.5600559304201583e-8,1.5795032029774507e-6
9420,CYP7B1,cytochrome P450 family 7 subfamily B member 1,116.78588457587104,1.1285978775811836,0.20855362523815346,5.411547635733518,6.24823678286533e-8,4.939114231246808e-6
85439,STON2,stonin 2,22.33562425917677,2.2220590105125235,0.44067650495668675,5.042381396600496,4.5977373049786016e-7,2.879820035686173e-5
51704,GPRC5B,G protein-coupled receptor class C group 5 member B,149.33008707911105,1.1008428083363473,0.22026455734676065,4.997820900451541,5.798179850332563e-7,3.512651415885899e-5
105375520,LOC105375520,uncharacterized LOC105375520,60.38165593348096,1.3145612150669443,0.26903282488604063,4.88624841828791,1.0277550817803926e-6,5.911391291392126e-5
84952,CGNL1,cingulin like 1,35.623187551083305,1.5961341772985431,0.33105045315783427,4.821422722951409,1.4253793885904086e-6,7.981044743236143e-5
3656,IRAK2,interleukin 1 receptor associated kinase 2,66.67095369893246,1.2307859583020322,0.2604657847576801,4.725326819593878,2.2974555794264543e-6,1.200034924914553e-4
785,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,57.68155530478435,1.232836920733847,0.28003901627400907,4.402375558724132,1.07072004954815e-5,4.7529680998260524e-4
131578,LRRC15,leucine rich repeat containing 15,42.14743720009937,1.5077986364167537,0.34328742851997174,4.392233770159845,1.121919710370356e-5,4.906573123874143e-4
6289,SAA2,serum amyloid A2,271.096487310669,1.1215659561443554,0.260116866566991,4.31177712905251,1.6194762975152958e-5,6.743408064752423e-4
5027,P2RX7,purinergic receptor P2X 7,63.31910402387977,1.0507479081756963,0.2455188865843741,4.2797029702829,1.871429027388562e-5,7.641840851618156e-4
101929532,LOC101929532,uncharacterized LOC101929532,58.41422143610185,1.0200388351527037,0.24826808596295433,4.108618436382154,3.9803306697779015e-5,0.001452771554584122
