GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9052,GPRC5A,G protein-coupled receptor class C group 5 member A,545.2357016270117,-1.8340972622353846,0.14146683120258435,-12.964857179906062,1.9359064016928043e-38,4.769428071637172e-35
7153,TOP2A,DNA topoisomerase II alpha,3278.918548506736,-1.0171442316965855,0.091392747866819,-11.129375748487252,9.026542164316775e-29,1.6678793284116322e-25
3589,IL11,interleukin 11,302.632980974748,-1.7417081120801654,0.15845651724939028,-10.991710169540958,4.18912292069069e-28,6.880401668183308e-25
55165,CEP55,centrosomal protein 55,690.7176896410747,-1.1701866337474307,0.11140776211039828,-10.50363647541764,8.31152141670001e-26,1.0238409131804962e-22
176,ACAN,aggrecan,324.42299404437233,-1.6496902604134709,0.16780291064576278,-9.831118268836343,8.269534861021739e-23,6.791125795312407e-20
3161,HMMR,hyaluronan mediated motility receptor,491.72372525348464,-1.2043369134763462,0.12789166438871405,-9.416852296298869,4.648133742422852e-21,3.1231233172952087e-18
701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,477.11589130254845,-1.0928030621851508,0.11710134703785807,-9.332113505337004,1.0378045796945346e-20,6.669924911758526e-18
9493,KIF23,kinesin family member 23,655.1134999390317,-1.0489433059395719,0.11279333598365458,-9.299692191847036,1.408528560173381e-20,8.675362156867881e-18
983,CDK1,cyclin dependent kinase 1,436.752478627992,-1.1631743422464653,0.12571502745242244,-9.25246858564045,2.1936667867164613e-20,1.2970712976497092e-17
9787,DLGAP5,DLG associated protein 5,707.4309368715024,-1.04605068744888,0.11748949029593347,-8.903355396419535,5.418334533314525e-19,2.860493609694833e-16
699,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,609.1214067316251,-1.051464159757908,0.12092107860997516,-8.695457994956799,3.4543358519057925e-18,1.7607583642369456e-15
6241,RRM2,ribonucleotide reductase regulatory subunit M2,1595.216364532717,-1.065306249093991,0.12334675795576062,-8.636678148249931,5.7871126311406304e-18,2.85150329711736e-15
83540,NUF2,NUF2 component of NDC80 kinetochore complex,218.5767343726551,-1.302362727517067,0.15183772229847817,-8.577333140949786,9.709808773503712e-18,4.630012686771995e-15
55635,DEPDC1,DEP domain containing 1,455.25880242586567,-1.113887280323534,0.13027519872551677,-8.550263528443645,1.2280779256722263e-17,5.67295246790214e-15
84665,MYPN,myopalladin,161.53094791250678,-1.598499009224975,0.19286396194973682,-8.288220324134828,1.1495549253215155e-16,4.9978590900301885e-14
1734,DIO2,iodothyronine deiodinase 2,246.0924804382146,-1.3459659282503988,0.17039180332489792,-7.899241054946474,2.8060673910982075e-15,1.0635714916721463e-12
55355,HJURP,Holliday junction recognition protein,335.977148488062,-1.0276927092566224,0.13134534590778646,-7.824355725387742,5.102633383897452e-15,1.8856781670193035e-12
4085,MAD2L1,mitotic arrest deficient 2 like 1,439.379678726957,-1.1455036682288704,0.14731826479089885,-7.775707037106225,7.502716076476753e-15,2.640598786725699e-12
90632,LINC00473,long intergenic non-protein coding RNA 473,58.67688738250656,-1.9927821989814236,0.2727053032546691,-7.307456713155448,2.72245984893851e-13,7.204099858912177e-11
891,CCNB1,cyclin B1,917.8913112235551,-1.0504385696133092,0.14685213630817623,-7.1530356726232,8.487953502093612e-13,2.056867683081111e-10
70,ACTC1,actin alpha cardiac muscle 1,54.47128698579511,-2.138411650896578,0.2998672105520434,-7.131195327958161,9.950099655765444e-13,2.334640843040076e-10
6790,AURKA,aurora kinase A,418.8102841587533,-1.0364440260994245,0.14593397312702325,-7.102143550887134,1.2283653880836508e-12,2.7934918717926963e-10
55872,PBK,PDZ binding kinase,357.7365538367298,-1.0144446679406522,0.14441882289693794,-7.024324444636926,2.1510444537698823e-12,4.745781957556179e-10
4001,LMNB1,lamin B1,678.3532634345188,-1.0013775108815712,0.14532752090496476,-6.890487807442958,5.5601392382841185e-12,1.1741425460045121e-9
4751,NEK2,NIMA related kinase 2,180.65396136043904,-1.1025568236400487,0.1609129685387564,-6.851882938039854,7.2884189793597e-12,1.4758549226423983e-9
195828,ZNF367,zinc finger protein 367,109.95311739075,-1.2821054994255565,0.19833982832172378,-6.464185787969294,1.0184568178253497e-10,1.6187987829133677e-8
81610,FAM83D,family with sequence similarity 83 member D,206.40233156606325,-1.0314171418739602,0.1596382627654725,-6.460964458058743,1.0403775504147181e-10,1.6360490372585494e-8
991,CDC20,cell division cycle 20,691.4817064802919,-1.207000991039736,0.1878171320128062,-6.42646907715233,1.3060197428021202e-10,2.032166719800099e-8
84296,GINS4,GINS complex subunit 4,221.38757730209568,-1.0840978919691497,0.17141320980141408,-6.324471102461127,2.541013974122154e-10,3.756126856547368e-8
23397,NCAPH,non-SMC condensin I complex subunit H,262.23139514632135,-1.063308468053386,0.1687367450340759,-6.301582194433428,2.946224709932536e-10,4.2697150649237986e-8
8318,CDC45,cell division cycle 45,218.54456628410438,-1.0727427399631124,0.1718198781633082,-6.243414623676497,4.28120039379063e-10,5.970255115189915e-8
55388,MCM10,minichromosome maintenance 10 replication initiation factor,162.8119237648329,-1.0734354533037886,0.17342343998213786,-6.18967916571341,6.028679421383464e-10,8.175774239164254e-8
3575,IL7R,interleukin 7 receptor,239.0307418700363,-1.2415694947137292,0.20137713851632796,-6.165394462654264,7.030764973359065e-10,9.279354271088723e-8
374393,FAM111B,FAM111 trypsin like peptidase B,150.53449650348836,-1.0759965108819514,0.17505976935248008,-6.146452236638387,7.923516746026599e-10,1.0365081817678334e-7
2624,GATA2,GATA binding protein 2,189.2914244517166,-1.0783950116909928,0.17705866440422025,-6.090608529775451,1.1248229824313678e-9,1.434273738057254e-7
129293,TRABD2A,TraB domain containing 2A,136.062563395342,-1.0800634472088808,0.17969470394373466,-6.010546908199734,1.8489849836146887e-9,2.2776413356493607e-7
1058,CENPA,centromere protein A,104.40456543691798,-1.2434199860141029,0.20860887587953447,-5.9605325074094235,2.5141728096284637e-9,2.926338777317161e-7
11130,ZWINT,ZW10 interacting kinetochore protein,400.2260574107859,-1.0636828974123052,0.17993571474580505,-5.911460650905067,3.39087274308688e-9,3.7699704393473497e-7
54478,PIMREG,PICALM interacting mitotic regulator,122.67860748345372,-1.1399645101995266,0.20173135914684082,-5.650903830820588,1.5960637226235863e-8,1.6049669352259764e-6
