GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,pvalue,padj
653635,WASH7P,"WASP family homolog 7, pseudogene",269.2518423114372,0.04206957480187827,0.11859994718806934,0.5575683258719809,0.8419629168494863
102466751,MIR6859-1,microRNA 6859-1,23.38215872122827,-0.011646793352889593,0.13627261399348747,0.798533045653028,0.9360242028533752
100996442,LOC100996442,WAS protein family homolog 2-like,44.401174556779985,0.014949752235920476,0.13235308538873752,0.7847104281094722,0.9311740079493022
729737,LOC729737,uncharacterized LOC729737,75.30304410858048,0.03831772168818519,0.14100663802098545,0.4410232116124309,0.7808366408018869
102723897,WASH9P,"WAS protein family homolog 9, pseudogene",238.32370648921645,0.03594268579848115,0.11653622859517249,0.6159315324832196,0.8703614458517599
100132287,LOC100132287,uncharacterized LOC100132287,143.45219608538522,0.05949115666954444,0.14737798241966613,0.29376673122115854,0.6724009037869948
113219467,MIR12136,microRNA 12136,3503.954238037275,0.17237681878335143,0.12648324879984787,0.0515484075076063,0.29857130917805014
100133331,LOC100133331,replaced by ID 100288069,173.31005722851134,0.04745351637454783,0.14135666350574266,0.39098910311182516,0.7490410733798599
107984841,LOC107984841,replaced by ID 100288069,75.99911702975353,0.057065192370236786,0.14039921567288116,0.35897111280078303,0.72938982672456
107984847,LOC107984847,replaced by ID 100288069,72.35114721383518,0.02461547967459045,0.13700051557046863,0.6187123052046604,0.8703614458517599
100288069,LOC100288069,uncharacterized LOC100288069,64.38772412936207,0.09570482787222305,0.16296229905163767,0.16069262748971994,0.5325915738908161
105378580,LINC01409,long intergenic non-protein coding RNA 1409,68.29466793034243,0.07708077572065915,0.14662561114292988,0.25648194728240387,0.6431409914721788
79854,LINC00115,long intergenic non-protein coding RNA 115,33.88042011436389,-0.016676902778671208,0.13249610285892086,0.7578757087144503,0.9213211482915894
643837,LINC01128,long intergenic non-protein coding RNA 1128,264.083800958853,0.06231654208326401,0.11225933025499948,0.4086508632886549,0.7604074850368702
284600,LOC284600,uncharacterized LOC284600,94.3212867531742,-0.5904367888054648,0.37105196133482127,0.0038956250577432705,0.05366740876380338
100130417,LINC02593,long intergenic non-protein coding RNA 2593,120.95420069875685,-0.7296751554447841,0.38633318095924307,0.001988453669258139,0.03287843639706243
107985728,LOC107985728,collagen alpha-1(III) chain-like,166.1037491512907,-1.0253562258716973,0.27319904391503497,7.976214871769469e-6,3.6452008004499257e-4
148398,SAMD11,sterile alpha motif domain containing 11,360.8000990928616,-0.8167551458134619,0.1644369785212932,3.8178952577065506e-8,3.319772217612837e-6
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,1843.8677412961813,-0.15570682408943867,0.1352954944056437,0.07806314807121878,0.37195849805498205
339451,KLHL17,kelch like family member 17,266.807095480709,-0.02577958552132452,0.12775697292101265,0.6777772183720954,0.8942255303441908
84069,PLEKHN1,pleckstrin homology domain containing N1,31.440309954994877,-0.053628174876634155,0.14353274690425502,0.34044034832240705,0.712399381214867
9636,ISG15,ISG15 ubiquitin like modifier,67.20927106561841,0.02528347653809573,0.1344127330036222,0.6408845508005847,0.8795466837340458
375790,AGRN,agrin,1606.444797451053,0.36776528515429224,0.1554340664054309,0.0017186442999524302,0.029369942244967428
54991,C1orf159,chromosome 1 open reading frame 159,88.29061544027569,0.03659923721508666,0.12666449219889714,0.5812649429050918,0.8531683433644194
51150,SDF4,stromal cell derived factor 4,4008.89629897216,-0.02617004318008724,0.10477810616274397,0.7205317278077865,0.9113864493226871
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",323.2833230632621,-0.03045666876432261,0.10391717785731663,0.6751214267741458,0.8929371526934484
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,608.6219561262287,-0.04669440209055298,0.09923450424404337,0.520472937550476,0.8254345516367007
101928895,LINC01786,long intergenic non-protein coding RNA 1786,34.5377008305771,0.17553412168982283,0.2771226009380602,0.03202320498082454,0.22584304199739902
6339,SCNN1D,sodium channel epithelial 1 subunit delta,78.1525901232072,0.08539197056819343,0.1576322156606767,0.18810740625431727,0.5699126212853696
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1100.8664018922323,0.06331869704128806,0.13747738261327366,0.35350965513950383,0.7246408214842965
126789,PUSL1,pseudouridine synthase like 1,177.83661849537611,0.06548487038676089,0.1269962831622703,0.3742147672344465,0.7399201028972162
54973,INTS11,integrator complex subunit 11,1112.175493165503,0.001966988735271722,0.09100515017918416,0.9755683535686723,0.9933768273370609
80772,CPTP,ceramide-1-phosphate transfer protein,232.18983824721184,0.07301960063952635,0.11739503784043513,0.3417490306428902,0.7134727415837956
1855,DVL1,dishevelled segment polarity protein 1,942.8591964736615,0.028447208402606464,0.09595429897740973,0.6938245560111043,0.9000476769683005
54587,MXRA8,matrix remodeling associated 8,6376.085456408981,0.16378142356776432,0.11003227636088068,0.049501617722257245,0.29094748038584756
54998,AURKAIP1,aurora kinase A interacting protein 1,607.8732995200014,-0.1248171752726414,0.16636449515465981,0.1241426760771775,0.47077399635013795
81669,CCNL2,cyclin L2,4704.238524582181,0.08504001200771938,0.12206646667766935,0.2761355152846566,0.6605856595073124
148413,MRPL20-AS1,MRPL20 antisense RNA 1,290.30471359070475,-0.02881878986187785,0.11349217650632898,0.688119650157091,0.897835236007172
55052,MRPL20,mitochondrial ribosomal protein L20,666.1430533072337,-0.16689563459506426,0.17503727427329402,0.07187061246244787,0.3576131643312919
64856,VWA1,von Willebrand factor A domain containing 1,40.75031012696558,-0.02227261132060504,0.13039450667143584,0.703663951952703,0.9045501602951851
83858,ATAD3B,ATPase family AAA domain containing 3B,633.2177920493216,-0.06084936981622473,0.11821846511699081,0.41451596391219,0.763916591266674
55210,ATAD3A,ATPase family AAA domain containing 3A,604.3554509041174,-0.11102405871730937,0.12015420214536918,0.1719830300811388,0.5481356512849059
339453,TMEM240,transmembrane protein 240,25.919249990998637,0.011820235783658099,0.13489118486971416,0.810549662683452,0.940989957863378
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",1376.442366711771,-0.06265522668460916,0.12017726628063868,0.4046174142098216,0.7577644465293419
643988,FNDC10,fibronectin type III domain containing 10,109.1037495987447,0.10038756994288707,0.15164799233186455,0.18731429368663519,0.56902587120342
142678,MIB2,MIB E3 ubiquitin protein ligase 2,997.6016625572429,0.09212373096951015,0.14034547622484414,0.2312214220098874,0.6195242088363523
8510,MMP23B,matrix metallopeptidase 23B,25.615120799962515,0.06331815049955448,0.15223531540953364,0.22479944650719458,0.612418986043006
984,CDK11B,cyclin dependent kinase 11B,1079.944959500469,-0.09915457235300476,0.09311200836316055,0.1763417012184054,0.5540822066054639
728661,SLC35E2B,solute carrier family 35 member E2B,1986.5719561543895,0.2597480663654,0.09684556403373966,0.0014399428994848716,0.02568766364754602
728642,CDK11A,cyclin dependent kinase 11A,906.2930125332564,-0.0012454056689352128,0.10335563519003287,0.9851015137811935,0.9958251898570162
9906,SLC35E2A,solute carrier family 35 member E2A,814.710735942169,0.2228669665267629,0.14604992436856595,0.024172985277922075,0.19006652573310856
112268218,LOC112268218,uncharacterized LOC112268218,56.439142404048376,0.010008671355092398,0.125992053037362,0.8724093973932217,0.961464046905784
65220,NADK,NAD kinase,866.725219745926,0.015379320498620196,0.08693603707983043,0.8267181187529005,0.9468154669098454
2782,GNB1,G protein subunit beta 1,7421.435602866535,-0.09695878714138602,0.10426924657960199,0.20665245015713332,0.5933831620479302
163688,CALML6,calmodulin like 6,44.90034361172211,0.11751302453668451,0.19710029783986435,0.06344940345293189,0.3355667555782609
5590,PRKCZ,protein kinase C zeta,51.670407122618784,0.0551965082535125,0.1363046463827604,0.3957886826839724,0.752048955639982
199990,FAAP20,FA core complex associated protein 20,417.5156839169871,0.09310492648363733,0.11140180533168575,0.23457498730175866,0.6226731721288363
112268219,LOC112268219,uncharacterized LOC112268219,92.35361943559671,0.05633946485474363,0.13450911613449762,0.40004760873873046,0.754649935340927
6497,SKI,SKI proto-oncogene,2797.8567017995374,0.053942203007482585,0.09841519315534038,0.4621002292504086,0.7933088582273724
79906,MORN1,MORN repeat containing 1,103.28578553735647,0.01851452123591106,0.1208441439844712,0.7835787671061295,0.9306568954003923
100129534,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,28.00530353033807,-0.010361694872827166,0.13560832254519423,0.824770736401635,0.9459777332005718
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,2518.0091052539296,-0.11731972405588238,0.0978394780534609,0.12179831350648203,0.4664307435888128
5192,PEX10,peroxisomal biogenesis factor 10,368.2574858653703,-0.05106696452583699,0.11038882152742158,0.4907620113386067,0.8100779405251174
